시간 흐름에 따른 관심도 변화,,,,
,,,,
,flu,감기,독감,플루
2014-02-23,0,35,53,0
2014-03-02,0,21,0,0
2014-03-09,0,0,0,19
2014-03-16,0,0,0,0
2014-03-23,0,18,0,0
2014-03-30,0,18,0,0
2014-04-06,0,0,0,18
2014-04-13,0,18,0,0
2014-04-20,0,18,0,0
2014-04-27,0,0,0,0
2014-05-04,19,19,0,0
2014-05-11,0,55,0,0
2014-05-18,0,0,0,0
2014-05-25,0,20,0,0
2014-06-01,0,0,0,0
2014-06-08,0,0,0,0
2014-06-15,0,0,0,0
2014-06-22,0,0,0,0
2014-06-29,0,0,0,0
2014-07-06,20,20,0,0
2014-07-13,0,0,0,0
2014-07-20,0,17,0,0
2014-07-27,0,0,0,0
2014-08-03,0,0,0,18
2014-08-10,0,0,0,0
2014-08-17,0,0,16,0
2014-08-24,0,0,0,0
2014-08-31,0,0,0,17
2014-09-07,0,17,0,0
2014-09-14,0,0,0,0
2014-09-21,0,17,0,17
2014-09-28,0,17,0,0
2014-10-05,0,0,25,0
2014-10-12,0,0,25,0
2014-10-19,0,16,32,0
2014-10-26,16,16,33,0
2014-11-02,0,24,16,0
2014-11-09,0,16,16,0
2014-11-16,0,16,0,0
2014-11-23,0,0,0,0
2014-11-30,0,15,0,0
2014-12-07,0,22,0,0
2014-12-14,15,15,0,15
2014-12-21,0,0,0,0
2014-12-28,0,22,0,0
2015-01-04,0,14,0,14
2015-01-11,0,22,0,0
2015-01-18,0,14,14,0
2015-01-25,0,14,0,0
2015-02-01,0,0,0,0
2015-02-08,0,30,14,15
2015-02-15,0,0,15,15
2015-02-22,0,14,14,14
2015-03-01,0,16,16,0
2015-03-08,0,16,16,0
2015-03-15,0,23,16,0
2015-03-22,0,0,0,0
2015-03-29,0,15,15,15
2015-04-05,0,30,0,0
2015-04-12,0,15,15,15
2015-04-19,0,15,15,0
2015-04-26,0,0,0,0
2015-05-03,0,15,0,0
2015-05-10,0,15,15,0
2015-05-17,0,0,15,0
2015-05-24,0,14,0,0
2015-05-31,0,70,0,14
2015-06-07,0,14,0,27
2015-06-14,0,68,14,0
2015-06-21,14,0,0,0
2015-06-28,0,0,0,0
2015-07-05,14,14,0,0
2015-07-12,0,0,0,0
2015-07-19,0,13,0,0
2015-07-26,0,0,0,0
2015-08-02,0,0,0,0
2015-08-09,0,0,0,0
2015-08-16,0,0,0,0
2015-08-23,0,0,0,0
2015-08-30,0,0,13,0
2015-09-06,0,27,0,0
2015-09-13,0,21,0,0
2015-09-20,0,14,0,0
2015-09-27,13,0,0,0
2015-10-04,13,26,13,0
2015-10-11,0,27,0,0
2015-10-18,0,27,14,14
2015-10-25,0,20,14,0
2015-11-01,0,12,0,0
2015-11-08,0,29,23,0
2015-11-15,0,0,12,0
2015-11-22,0,12,23,0
2015-11-29,0,12,0,0
2015-12-06,0,12,0,0
2015-12-13,12,12,0,0
2015-12-20,0,13,0,0
2015-12-27,12,12,0,0
2016-01-03,0,10,0,0
2016-01-10,0,26,0,0
2016-01-17,0,10,0,0
2016-01-24,0,10,0,0
2016-01-31,0,11,0,0
2016-02-07,0,16,10,0
2016-02-14,0,10,20,0
2016-02-21,10,0,10,0
2016-02-28,0,20,15,0
2016-03-06,0,0,11,0
2016-03-13,0,26,0,0
2016-03-20,0,0,0,0
2016-03-27,0,0,0,0
2016-04-03,0,10,0,0
2016-04-10,0,10,0,0
2016-04-17,0,0,10,0
2016-04-24,0,0,10,10
2016-05-01,0,10,10,0
2016-05-08,0,31,0,0
2016-05-15,0,16,10,0
2016-05-22,0,0,0,0
2016-05-29,0,0,0,0
2016-06-05,10,20,0,0
2016-06-12,0,0,0,0
2016-06-19,0,0,0,0
2016-06-26,0,0,0,0
2016-07-03,0,0,0,0
2016-07-10,0,0,0,0
2016-07-17,0,10,0,0
2016-07-24,0,20,0,0
2016-07-31,0,15,0,0
2016-08-07,0,10,0,0
2016-08-14,0,11,0,0
2016-08-21,0,0,0,0
2016-08-28,11,21,11,0
2016-09-04,0,10,0,0
2016-09-11,0,0,20,0
2016-09-18,0,0,20,0
2016-09-25,0,15,20,0
2016-10-02,0,10,0,0
2016-10-09,0,10,10,0
2016-10-16,0,10,0,0
2016-10-23,0,10,10,0
2016-10-30,0,0,0,0
2016-11-06,0,15,10,10
2016-11-13,10,10,0,0
2016-11-20,10,10,10,0
2016-11-27,10,10,10,0
2016-12-04,0,9,9,0
2016-12-11,9,0,18,0
2016-12-18,0,10,0,0
2016-12-25,0,24,43,0
2017-01-01,0,33,14,0
2017-01-08,0,9,0,0
2017-01-15,0,9,0,0
2017-01-22,0,18,9,0
2017-01-29,9,17,17,0
2017-02-05,0,9,0,0
2017-02-12,0,17,0,0
2017-02-19,0,9,9,0
2017-02-26,9,17,0,0
2017-03-05,0,9,9,0
2017-03-12,0,9,9,0
2017-03-19,0,13,0,0
2017-03-26,0,17,0,0
2017-04-02,0,17,0,0
2017-04-09,9,26,9,0
2017-04-16,0,0,0,0
2017-04-23,0,17,0,8
2017-04-30,0,12,8,0
2017-05-07,0,24,0,8
2017-05-14,0,14,19,0
2017-05-21,0,0,0,0
2017-05-28,0,19,0,0
2017-06-04,0,9,0,0
2017-06-11,0,0,9,0
2017-06-18,0,9,0,0
2017-06-25,0,0,0,0
2017-07-02,0,9,0,0
2017-07-09,0,19,0,0
2017-07-16,9,0,9,0
2017-07-23,0,9,0,0
2017-07-30,0,9,0,0
2017-08-06,0,0,0,0
2017-08-13,0,9,0,0
2017-08-20,0,0,0,9
2017-08-27,0,14,0,0
2017-09-03,9,0,9,0
2017-09-10,0,0,0,0
